degree,alpha,mse,r2
1,1e-05,0.02476784701172923,0.6971113969709111
1,0.0001,0.024768085207217957,0.6971084840532564
1,0.001,0.02479190475609014,0.6968171922877969
1,0.01,0.027173859643308155,0.6676880157418456
1,0.1,0.08177213260596197,0.0
1,1.0,0.08177213260596197,0.0
2,1e-05,0.017876160700893887,0.7813905528545486
2,0.0001,0.01788872251546484,0.7812369331045111
2,0.001,0.01845882110798434,0.7742651375263445
2,0.01,0.02522036150053335,0.6915775497495764
2,0.1,0.08177213260596197,0.0
2,1.0,0.08177213260596197,0.0
3,1e-05,0.007734661958055793,0.9054120063698587
3,0.0001,0.008128476256587622,0.9005960099419619
3,0.001,0.01816515031304257,0.7778564685285198
3,0.01,0.025220361500533348,0.6915775497495764
3,0.1,0.08177213260596197,0.0
3,1.0,0.08177213260596197,0.0
4,1e-05,0.005249102873459945,0.9358081695294169
4,0.0001,0.008230239480868477,0.8993515367817567
4,0.001,0.015024422141504252,0.8162647632794057
4,0.01,0.025220361500533348,0.6915775497495764
4,0.1,0.08177213260596197,0.0
4,1.0,0.08177213260596197,0.0
5,1e-05,0.00411446769163652,0.949683742364125
5,0.0001,0.007847030971902527,0.9040378338948885
5,0.001,0.014136943467352338,0.8271178332174056
5,0.01,0.025220361500533348,0.6915775497495764
5,0.1,0.08177213260596197,0.0
5,1.0,0.08177213260596197,0.0
